Date,KOSPI_Now,filter_smo,wrapper_smo,filter_linear,wrapper_linear,filter_mlp,wrapper_mlp,filter_gaussian,wrapper_gaussian
2016.3.3,1958.17,        782      -0.1297        0.189       0.3187,        782      -0.1297      -0.9521      -0.8224,        782      -0.1297       0.2633        0.393,        782      -0.1297      -0.0103       0.1194,        782      -0.1297      -0.3825      -0.2528,        782      -0.1297      -2.0009      -1.8711,        782      -0.1297        0.153       0.2827,        782      -0.1297       0.4302       0.5599
2016.3.4,1955.63,        783       0.1145       0.1599       0.0453,        783       0.1145       0.1082      -0.0063,        783       0.1145       0.1459       0.0313,        783       0.1145       0.1748       0.0602,        783       0.1145       0.0358      -0.0787,        783       0.1145      -0.1378      -0.2523,        783       0.1145      -0.0255        -0.14,        783       0.1145       0.2939       0.1793
2016.3.7,1957.87,        784      -0.6001      -0.1262       0.4739,        784      -0.6001        0.405       1.0051,        784      -0.6001      -0.1388       0.4613,        784      -0.6001      -0.0387       0.5615,        784      -0.6001      -0.3519       0.2483,        784      -0.6001       0.0688        0.669,        784      -0.6001      -0.2258       0.3743,        784      -0.6001      -0.2028       0.3974
2016.3.8,1946.12,        785        0.351      -0.0503      -0.4012,        785        0.351       0.6958       0.3448,        785        0.351      -0.0843      -0.4352,        785        0.351      -0.0099      -0.3608,        785        0.351      -0.5512      -0.9021,        785        0.351      -0.1299      -0.4808,        785        0.351       0.0471      -0.3038,        785        0.351      -0.1264      -0.4773
2016.3.9,1952.95,        786       0.8387       0.1575      -0.6812,        786       0.8387      -1.1465      -1.9853,        786       0.8387       0.1594      -0.6793,        786       0.8387      -0.1293       -0.968,        786       0.8387      -0.7141      -1.5528,        786       0.8387      -1.1138      -1.9525,        786       0.8387       0.2321      -0.6066,        786       0.8387       0.2401      -0.5986
2016.3.10,1969.33,        787       0.1056           -0      -0.1057,        787       0.1056       0.2743       0.1687,        787       0.1056       0.1971       0.0915,        787       0.1056       0.9737       0.8681,        787       0.1056      -1.1082      -1.2138,        787       0.1056       0.2293       0.1237,        787       0.1056        0.048      -0.0576,        787       0.1056       0.0164      -0.0892
2016.3.11,1971.41,        788       0.0436       0.7519       0.7083,        788       0.0436       2.7645       2.7209,        788       0.0436       0.8676        0.824,        788       0.0436       0.9821       0.9385,        788       0.0436       0.1954       0.1518,        788       0.0436       0.2293       0.1857,        788       0.0436       0.5625       0.5189,        788       0.0436       0.6336         0.59
2016.3.14,1972.27,        789      -0.1166      -0.3739      -0.2573,        789      -0.1166       1.1994        1.316,        789      -0.1166      -0.4455      -0.3289,        789      -0.1166      -0.9996       -0.883,        789      -0.1166      -0.8681      -0.7515,        789      -0.1166    -381.0764    -380.9598,        789      -0.1166      -0.2173      -0.1006,        789      -0.1166      -0.1801      -0.0635
2016.3.15,1969.97,        790       0.2503      -0.1645      -0.4147,        790       0.2503      -0.3787       -0.629,        790       0.2503      -0.1174      -0.3677,        790       0.2503       0.7618       0.5116,        790       0.2503      -0.0435      -0.2938,        790       0.2503       0.2292       -0.021,        790       0.2503      -0.0619      -0.3122,        790       0.2503       0.1352       -0.115
2016.3.16,1974.9,        791       0.6628       0.3167      -0.3462,        791       0.6628      -6.2821      -6.9449,        791       0.6628       0.3958       -0.267,        791       0.6628        0.254      -0.4088,        791       0.6628       1.0089       0.3461,        791       0.6628       0.2234      -0.4395,        791       0.6628       0.1044      -0.5584,        791       0.6628       0.0003      -0.6625
