@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute AEX_Now numeric
@attribute AEX_Open numeric
@attribute AEX_High numeric
@attribute AEX_Low numeric
@attribute FTSE_Now_x numeric
@attribute FTSE_Open_x numeric
@attribute FTSE_High_x numeric
@attribute FTSE_Low_x numeric
@attribute DAX_Now numeric
@attribute DAX_Open numeric
@attribute DAX_High numeric
@attribute DAX_Low numeric
@attribute EUR_KRW_Now numeric
@attribute EUR_KRW_Open numeric
@attribute EUR_KRW_High numeric
@attribute EUR_KRW_Low numeric
@attribute S&P_BMV_Now numeric
@attribute S&P_BMV_Open numeric
@attribute S&P_BMV_High numeric
@attribute S&P_BMV_Low numeric
@attribute OMXS_Now numeric
@attribute OMXS_Low numeric
@attribute IBEX_Now numeric
@attribute IBEX_Open numeric
@attribute IBEX_High numeric
@attribute IBEX_Low numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_Open_y numeric
@attribute FTSE_High_y numeric
@attribute FTSE_Low_y numeric
@attribute TA_Now numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute S&P_TSX_Low numeric
@attribute BEL_High numeric
@attribute BEL_Low numeric

@data
2016-04-05, 1962.74, 436.08, 433.19, 439.95, 430.84, 6164.72, 6146.05, 6201.95, 6132.9, 9822.08, 9789.77, 9907.05, 9732.82, 1312.54, 1305.98, 1314.46, 1302.71, 45678.18, 46067.25, 46077.1, 45454.1, 1361.86, 1351.07, 8597.5, 8589.3, 8712.9, 8552.2, 17639.26, 17700.02, 17934.1, 17574.87, 1451.98, 13336.15, 13450.04, 13452.92, 13314.6, 3410.83, 3342.36
2016-04-06, 1971.32, 428.85, 430.28, 430.96, 426.75, 6091.23, 6164.72, 6164.74, 6061.85, 9563.36, 9647.81, 9661.3, 9553.17, 1321.47, 1311.17, 1325.53, 1308.01, 45186.01, 45678.34, 45678.34, 45183.71, 1333.85, 1327.44, 8387.7, 8483.8, 8491.5, 8377.7, 17109.3, 17389.94, 17460.36, 17104.12, 1439.41, 13304.66, 13309.3, 13326.53, 13262.24, 3352.5, 3310.06
2016-04-07, 1973.89, 431.01, 429.99, 431.08, 427.77, 6161.63, 6091.23, 6161.63, 6091.23, 9624.51, 9582.46, 9635.91, 9505.9, 1317.54, 1320.1, 1324.32, 1309.91, 45281.97, 45183.3, 45370.79, 45023.51, 1349.02, 1323.55, 8398.6, 8398.8, 8468.9, 8340.2, 17240.91, 17214.34, 17391.84, 17035.79, 1443.92, 13347.46, 13308.93, 13348.0, 13237.91, 3347.82, 3316.75
2016-04-08, 1972.05, 428.73, 432.2, 433.94, 427.96, 6136.89, 6161.63, 6204.11, 6119.38, 9530.62, 9648.55, 9702.18, 9484.75, 1320.63, 1316.17, 1323.44, 1308.99, 45052.16, 45278.81, 45290.03, 44834.24, 1330.84, 1330.51, 8292.9, 8418.2, 8431.4, 8256.1, 16818.25, 17273.63, 17322.19, 16777.87, 1443.5, 13266.44, 13327.3, 13327.3, 13217.17, 3360.65, 3311.3
2016-04-11, 1970.37, 434.16, 430.39, 434.63, 430.39, 6204.41, 6136.89, 6216.28, 6136.89, 9622.26, 9576.4, 9675.03, 9572.57, 1313.05, 1318.92, 1323.12, 1303.65, 44859.49, 45074.31, 45382.66, 44797.16, 1364.94, 1331.38, 8427.6, 8309.9, 8462.8, 8309.9, 17504.62, 16960.89, 17509.23, 16956.49, 1447.725, 13396.73, 13328.35, 13428.81, 13328.35, 3362.84, 3327.78
2016-04-12, 1981.32, 436.56, 433.74, 438.44, 430.82, 6200.12, 6204.41, 6229.66, 6165.46, 9682.99, 9595.56, 9751.93, 9524.66, 1303.53, 1312.15, 1319.07, 1299.7, 44760.53, 44864.85, 45112.56, 44745.11, 1368.62, 1353.57, 8497.6, 8413.4, 8563.4, 8344.4, 17722.66, 17452.91, 17855.76, 17323.54, 1451.95, 13422.76, 13422.13, 13528.95, 13422.13, 3392.22, 3336.82
2016-04-14, 2015.93, 439.5, 438.1, 439.97, 434.05, 6242.39, 6200.12, 6248.27, 6176.28, 9761.47, 9716.75, 9770.47, 9617.83, 1302.43, 1301.76, 1310.6, 1298.9, 45090.67, 44765.35, 45126.92, 44708.63, 1366.6, 1353.23, 8546.3, 8519.8, 8587.9, 8425.6, 17444.8, 17741.86, 17860.93, 17231.73, 1448.3, 13581.42, 13447.47, 13632.76, 13444.45, 3378.41, 3340.47
2016-04-15, 2014.71, 451.04, 449.9, 452.23, 448.77, 6365.1, 6362.89, 6373.93, 6335.4, 10093.65, 10042.28, 10098.44, 10016.17, 1300.04, 1290.52, 1306.23, 1289.61, 45403.54, 45411.54, 45624.53, 45363.83, 1384.11, 1381.52, 8861.5, 8854.0, 8870.9, 8743.5, 18329.09, 18206.45, 18329.09, 17985.38, 1474.23, 13668.29, 13679.99, 13701.07, 13629.59, 3461.93, 3430.62
2016-04-18, 2009.1, 450.59, 449.88, 451.45, 448.89, 6343.75, 6365.1, 6372.52, 6328.19, 10051.57, 10063.89, 10070.04, 10020.34, 1294.15, 1298.28, 1302.58, 1287.94, 45536.52, 45401.59, 45636.17, 45390.83, 1381.33, 1379.03, 8850.9, 8855.4, 8886.6, 8809.3, 18257.35, 18282.37, 18322.12, 18161.17, 1483.54, 13637.2, 13632.17, 13657.56, 13596.15, 3475.67, 3446.74
2016-04-19, 2011.36, 450.81, 444.77, 451.58, 444.12, 6353.52, 6343.75, 6354.88, 6261.71, 10120.31, 9933.7, 10147.85, 9920.9, 1294.64, 1294.06, 1303.81, 1290.34, 45022.63, 45518.62, 45561.44, 44956.23, 1381.89, 1364.66, 8881.6, 8703.4, 8891.5, 8674.1, 18358.25, 17939.06, 18411.68, 17903.64, 1492.85, 13719.82, 13595.59, 13730.59, 13548.83, 3472.76, 3421.3
