@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute MOEX_Now numeric
@attribute MOEX_Open numeric
@attribute MOEX_High numeric
@attribute MOEX_Low numeric
@attribute IBEX_Now numeric
@attribute IBEX_Open numeric
@attribute IBEX_High numeric
@attribute IBEX_Low numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_Open_y numeric
@attribute FTSE_High_y numeric
@attribute FTSE_Low_y numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute S&P_TSX_Low numeric
@attribute BEL_High numeric
@attribute BEL_Low numeric

@data
2017-05-29, 2352.97, 1934.25, 1944.16, 1945.03, 1930.76, 10904.2, 10911.1, 10918.8, 10801.6, 21210.57, 21206.44, 21245.73, 21001.29, 15416.93, 15429.01, 15429.39, 15368.25, 3900.93, 3868.79
2017-05-30, 2343.68, 1940.77, 1934.66, 1945.82, 1931.45, 10884.0, 10864.0, 10915.4, 10844.8, 20783.82, 21169.28, 21169.28, 20742.74, 15421.91, 15420.31, 15460.52, 15405.27, 3896.93, 3881.01
2017-05-31, 2347.38, 1932.91, 1938.06, 1939.74, 1927.28, 10876.9, 10812.5, 10918.5, 10788.7, 20814.48, 20660.82, 20832.18, 20572.22, 15372.35, 15396.2, 15428.99, 15360.9, 3896.68, 3865.42
2017-06-01, 2344.61, 1900.38, 1934.03, 1936.65, 1893.39, 10880.0, 10885.0, 10957.8, 10856.2, 20731.68, 20852.62, 20937.49, 20694.45, 15349.91, 15374.35, 15382.06, 15254.07, 3913.48, 3881.33
2017-06-02, 2371.72, 1869.66, 1900.89, 1904.82, 1862.6, 10881.0, 10891.6, 10909.1, 10836.4, 20936.07, 20781.43, 21007.78, 20732.27, 15469.91, 15363.07, 15493.9, 15337.53, 3907.66, 3886.41
2017-06-05, 2368.62, 1881.87, 1868.75, 1881.97, 1849.57, 10905.9, 10960.0, 11007.7, 10879.6, 20928.24, 21035.63, 21156.26, 20862.98, 15442.75, 15466.08, 15466.08, 15419.44, 3947.07, 3909.88
2017-06-07, 2360.14, 1877.69, 1882.83, 1894.5, 1871.29, 10884.7, 10889.6, 10916.4, 10842.1, 20721.04, 20901.18, 20950.43, 20712.38, 15409.78, 15420.64, 15447.69, 15344.94, 3922.71, 3898.88
2017-06-08, 2363.57, 1868.42, 1870.69, 1889.45, 1867.97, 10871.7, 10813.6, 10946.9, 10761.7, 20739.91, 20743.54, 20966.87, 20650.51, 15372.14, 15445.71, 15495.76, 15356.81, 3932.57, 3864.91
2017-06-09, 2381.69, 1874.21, 1869.49, 1874.45, 1851.63, 10953.1, 10847.2, 10981.3, 10837.4, 21042.41, 20746.85, 21093.53, 20662.28, 15423.09, 15354.94, 15423.71, 15342.78, 3926.6, 3897.36
2017-06-12, 2357.87, 1883.34, 1873.26, 1888.92, 1866.3, 10978.3, 10947.2, 11048.0, 10884.7, 21122.42, 21045.19, 21271.49, 20948.38, 15473.21, 15415.24, 15505.23, 15401.07, 3957.46, 3924.64
2017-06-13, 2374.7, 1872.305, 1872.165, 1880.105, 1861.78, 10842.4, 10929.7, 10936.6, 10818.5, 20910.23, 21077.46, 21161.34, 20910.23, 15383.8, 15476.25, 15594.17, 15354.29, 3940.48, 3893.27
2017-06-14, 2372.64, 1861.27, 1871.07, 1871.29, 1857.26, 10882.1, 10872.6, 10937.0, 10846.5, 21088.78, 20988.55, 21168.72, 20949.07, 15379.75, 15380.22, 15380.93, 15296.11, 3919.45, 3895.63
